rxn	rxn_name	gene	equation	pathway
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc1	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc2	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
13DAMPPOX	1,3-Diaminopropane:oxygen oxidoreductase (deaminating)	Aoc3	13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c	beta-Alanine metabolism
24_25VITD2Hm	24R-Vitamin D-25-hydroxylase (D2)	Cyp24a1	24_25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 2425dhvitd2_m + h2o_m + nadp_m	Vitamin D
24_25VITD3Hm	24R-Vitamin D-25-hydroxylase (D3)	Cyp24a1	24_25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 2425dhvitd3_m + h2o_m + nadp_m	Vitamin D
25VITD2Hm	1-alpha-Vitamin D-25-hydroxylase (D2)	Cyp27b1	25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 1a25dhvitd2_m + h2o_m + nadp_m	Vitamin D
25VITD3Hm	1-alpha-Vitamin D-25-hydroxylase (D3)	Cyp27b1	25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 1a25dhvitd3_m + h2o_m + nadp_m	Vitamin D
2AMADPTm	L-2-aminoadipate shuttle (cytosol/mitochondria)	Slc25a21	2AMADPTm: L2aadp_c + akg_m <=> L2aadp_m + akg_c	Lysine Metabolism
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a1	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a3	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2HBt2	2 hydroxybutyrate cotransport with proton	Slc16a7	2HBt2: 2hb_e + h_e <=> 2hb_c + h_c	Transport, Extracellular
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Dld	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Dlst	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
2OXOADOXm	2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria)	Ogdh	2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m	Lysine Metabolism
