gene	ActivatedMyeloidCells___aCTLA4	ActivatedMyeloidCells___aPD1	ActivatedMyeloidCells___aPD1aCTLA4	ActivatedMyeloidCells___Control	HighlyProliferativeTCells___aCTLA4	HighlyProliferativeTCells___aPD1	HighlyProliferativeTCells___aPD1aCTLA4	HighlyProliferativeTCells___Control	OtherMyeloidCells___aCTLA4	OtherMyeloidCells___aPD1	OtherMyeloidCells___aPD1aCTLA4	OtherMyeloidCells___Control
Sox17	0	0.002296696431852423	0	0	0	0	0	0	0	0	0	8.516784879640794e-4
Mrpl15	0.5901732426824698	0.5494124960533512	0.5858812769955469	0.6252099997446572	1.2248315484058658	0.7947961013832526	1.2778569935371196	0.8549265240792002	0.6699366787395501	0.7077461772571347	0.5890627313840608	0.7359381572415997
Lypla1	0.33204249694280746	0.3961152711304628	0.3584392882501363	0.3698237775201669	0.8101358762388677	1.299343444275722	0.8082379692275785	0.8564739969130629	0.4070109133021959	0.5040267942810206	0.4235450180990031	0.5033833177798385
Gm37988	0	0.0028798857261343866	0	0	0	0	0	0	0	0	0	0
Tcea1	0.8314266825817807	0.7940875824990772	0.7256096782974341	0.7193671126739452	1.038270186036524	1.3477643082655295	0.9112737569041158	1.1117533121539693	0.7725067418451108	0.8663800073357198	0.7048533815863595	0.8961415219689561
Rgs20	0	0	0	0	0	0	0	0	0	0	0	7.533427702071015e-4
Atp6v1h	0.3667860401683524	0.44022190362641295	0.36396936823382836	0.4084303851905321	0.20535835259924054	0.1847762176979873	0.3674980760167582	0.46471577508008216	0.47365378855120366	0.45784804937510887	0.3748605738589975	0.427432451433338
Rb1cc1	0.15077566141769516	0.23059208173282494	0.19526205068016084	0.19266163998991365	0.13998219453945965	0.16941659459424319	0.15252434437712245	0.24716019895062633	0.21662152346311112	0.1920535921971494	0.2314530758805343	0.23761106271833152
4732440D04Rik	0.011950282032368644	0.022278116309186198	0.030274833946974392	0.005990032585777266	0.01743119621170621	0.07497972522266562	0.022342376619208956	0.07595594848390072	0.027944477562430164	0.033727411123356636	0.018385616109178462	0.02883513563940513
Fam150a	0	0	0	0	0	0	0	0	0.0010210466299743351	0.001699171823653151	0.004434636998353864	0.003975657324152866
St18	0.010607153464296323	0	0	0.007438119362169202	0	0	0	0	0.0013354187232115006	0	0	0.004927890159690275
Pcmtd1	0.4040811914450263	0.47634265745059873	0.46908218211252284	0.4143533832123223	0.2839321472349429	0.6823697723954344	0.2478902178446295	0.7084810830047563	0.5340242340655733	0.3810841137909694	0.41385627430306454	0.3406058742028789
Gm26901	0	0	0	0	0	0	0.030130882291712638	0.015006723011909334	0	0	0	0.003915319431029532
Gm30414	0	0	0	0	0	0	0	0	0	0	0	8.004725990224629e-4
Rrs1	0.10663974795078447	0.3097745448379255	0.22998891576301056	0.0818151181865186	0.34286534937381585	0.17533868913892248	0.18498791867234984	0.2631466293895478	0.1566718091745832	0.14207911207651253	0.15046630055246227	0.20666426055025644
Adhfe1	0	0.005887942077142508	0	0	0	0	0	0	0.0014228377987674811	0.002185847088664824	0	0.002150212619056043
Mybl1	0.002965440753459187	0.0043035185567720175	0	0	0.029273221250193535	0	0.027890630164931512	0	0.0014892973137842214	7.459421122067013e-4	0	0.003707412987450329
Vcpip1	0.11721590489107682	0.21507098920638565	0.1235184577457209	0.15247339678669308	0.20916235366172534	0.12884859294285567	0.16599089539487988	0.17327810730146492	0.2720498439536173	0.16256557581312633	0.1440034684433395	0.23588133576877648
1700034P13Rik	0.0023495467724275985	0.004470373098618783	0.0011772461857223583	0	0.008837013654953502	0	0	0	0.002607741155407242	0.00434126134480121	0.007280960842631893	0.0011933402069729253
Sgk3	0.27845777206111283	0.36062327031803415	0.28246562546506093	0.29943209533110476	0.011590978057219536	0.00934523542517083	0.036171234744959584	0.03517720517104916	0.6376421168883737	0.49493497924724233	0.456675615846399	0.3979218570458686
Mcmdc2	0.03291642588759174	0.03850970711395274	0.031568365872761156	0.09005270060335147	0.023214761011988456	0	0	0	0.06199106272329799	0.07166237712631644	0.03615277202380267	0.061083377112417174
Snhg6	0.41460865724904034	0.16681517538465054	0.1962884747379571	0.09558349591955956	0.25862985406020683	0.23389717029878138	0.34934719482339893	0.09295241376746499	0.24946883793095118	0.20293682912587238	0.21917282552643602	0.30712089084718514
Tcf24	0	0	0	0	0	0.024194562997803128	0	0	0	0	0	0
Cops5	0.35026762307656856	0.36211518633455764	0.44712025145453244	0.7627749091008	0.8201060916161002	0.8092512865689293	0.7503540567199756	0.6302712180401662	0.46248554384573415	0.4965183351262532	0.44138786062433916	0.5340757563942282
Cspp1	0.1189850618666217	0.08632047029612847	0.1013932968990576	0.07377511356122222	0.19623853521807058	0.2131201889695804	0.11067956158770018	0.3295947601169715	0.11705494934109058	0.11406597783289248	0.07917388577609986	0.13903015190724888
