rxn	rxn_name	equation	pathway	gene
11DOCRTSLte	Transport of 11-Deoxycortisol, Extracellular	11DOCRTSLte: 11docrtsl[c] + atp[c] + h2o[c] --> 11docrtsl[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCB1
11DOCRTSTRNte	Transport of 11-Deoxycorticosterone, Extracellular	11DOCRTSTRNte: 11docrtstrn[c] + atp[c] + h2o[c] --> 11docrtstrn[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCB1
12DHCHOLabc	12-Dehydrocholic acid ABC bile acid transporter	12DHCHOLabc: 12dhchol[c] + atp[c] + h2o[c] --> 12dhchol[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCB11
12DHCHOLabc	12-Dehydrocholic acid ABC bile acid transporter	12DHCHOLabc: 12dhchol[c] + atp[c] + h2o[c] --> 12dhchol[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCC2
12DHCHOLabc	12-Dehydrocholic acid ABC bile acid transporter	12DHCHOLabc: 12dhchol[c] + atp[c] + h2o[c] --> 12dhchol[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCC3
12DHCHOLabc	12-Dehydrocholic acid ABC bile acid transporter	12DHCHOLabc: 12dhchol[c] + atp[c] + h2o[c] --> 12dhchol[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCC4
12DHCHOLt	12-Dehydrocholic acid transport via bicarbonate countertransport	12DHCHOLt: 12dhchol[e] + hco3[c] <=> 12dhchol[c] + hco3[e]	Transport, extracellular	SLC51A
12DHCHOLt	12-Dehydrocholic acid transport via bicarbonate countertransport	12DHCHOLt: 12dhchol[e] + hco3[c] <=> 12dhchol[c] + hco3[e]	Transport, extracellular	SLC51B
12DHCHOLt	12-Dehydrocholic acid transport via bicarbonate countertransport	12DHCHOLt: 12dhchol[e] + hco3[c] <=> 12dhchol[c] + hco3[e]	Transport, extracellular	SLCO1B1
12DHCHOLt	12-Dehydrocholic acid transport via bicarbonate countertransport	12DHCHOLt: 12dhchol[e] + hco3[c] <=> 12dhchol[c] + hco3[e]	Transport, extracellular	SLCO1B3
12DHCHOLt2	12-Dehydrocholic acid transport via sodium cotransport	12DHCHOLt2: 12dhchol[e] + 2.0 na1[e] --> 12dhchol[c] + 2.0 na1[c]	Transport, extracellular	SLC10A1
12DHCHOLt2	12-Dehydrocholic acid transport via sodium cotransport	12DHCHOLt2: 12dhchol[e] + 2.0 na1[e] --> 12dhchol[c] + 2.0 na1[c]	Transport, extracellular	SLC10A2
12HTACRhr	oxidation of tacrolimus in hepatocytes	12HTACRhr: h[r] + nadph[r] + o2[r] + tacr[r] --> 12htacr[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A4
12HTACRhr	oxidation of tacrolimus in hepatocytes	12HTACRhr: h[r] + nadph[r] + o2[r] + tacr[r] --> 12htacr[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A5
13DAMPPOX	1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)	13DAMPPOX: 13dampp[c] + h2o[c] + o2[c] --> bamppald[c] + h2o2[c] + nh4[c]	Beta-Alanine metabolism	AOC1
13DAMPPOX	1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)	13DAMPPOX: 13dampp[c] + h2o[c] + o2[c] --> bamppald[c] + h2o2[c] + nh4[c]	Beta-Alanine metabolism	AOC2
13DAMPPOX	1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)	13DAMPPOX: 13dampp[c] + h2o[c] + o2[c] --> bamppald[c] + h2o2[c] + nh4[c]	Beta-Alanine metabolism	AOC3
13DAMPPte	Facilitated Diffusion Through Uniport Octs Transporters into Extracellular Space	13DAMPPte: 13dampp[c] <=> 13dampp[e]	Transport, extracellular	SLC22A1
13DAMPPte	Facilitated Diffusion Through Uniport Octs Transporters into Extracellular Space	13DAMPPte: 13dampp[c] <=> 13dampp[e]	Transport, extracellular	SLC22A2
13DAMPPte	Facilitated Diffusion Through Uniport Octs Transporters into Extracellular Space	13DAMPPte: 13dampp[c] <=> 13dampp[e]	Transport, extracellular	SLC22A3
14HMDZALThr	oxidation of 4-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes	14HMDZALThr: 4ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A4
14HMDZALThr	oxidation of 4-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes	14HMDZALThr: 4ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A5
14HMDZhr	oxidation of 1-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes	14HMDZhr: 1ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A4
14HMDZhr	oxidation of 1-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes	14HMDZhr: 1ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r]	Drug metabolism	CYP3A5
15KPROSTGF2c	Formation of 15-Keto-Prostaglandin F2A	15KPROSTGF2c: nad[c] + prostgf2[c] <=> 15kprostgf2[c] + h[c] + nadh[c]	Eicosanoid metabolism	HPGD
17AHPRGNLONEte	Transport of 17Alpha-Hydroxypregnenolone, Extracellular	17AHPRGNLONEte: 17ahprgnlone[c] + atp[c] + h2o[c] --> 17ahprgnlone[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCB1
17AHPRGSTRNte	Transport of 17Alpha-Hydroxyprogesterone, Extracellular	17AHPRGSTRNte: 17ahprgstrn[c] + atp[c] + h2o[c] --> 17ahprgstrn[e] + adp[c] + h[c] + pi[c]	Transport, extracellular	ABCB1
1A25DHVITD3te	Transport As Vitamin D	1A25DHVITD3te: 1a25dhvitd3[e] --> 1a25dhvitd3[c]	Transport, extracellular	CD36
1A25DHVITD3te	Transport As Vitamin D	1A25DHVITD3te: 1a25dhvitd3[e] --> 1a25dhvitd3[c]	Transport, extracellular	NPC1L1
1A25DHVITD3te	Transport As Vitamin D	1A25DHVITD3te: 1a25dhvitd3[e] --> 1a25dhvitd3[c]	Transport, extracellular	SCARB1
1HIBUP_SGLUhep	glucuronidation of 1-hydroxy ibuprofen	1HIBUP_SGLUhep: 1hibup_S[r] + udpglcur[r] --> 1hibupglu_S[r] + udp[r]	Drug metabolism	UGT1A3
1HIBUP_SGLUhep	glucuronidation of 1-hydroxy ibuprofen	1HIBUP_SGLUhep: 1hibup_S[r] + udpglcur[r] --> 1hibupglu_S[r] + udp[r]	Drug metabolism	UGT1A9
1HIBUP_SGLUhep	glucuronidation of 1-hydroxy ibuprofen	1HIBUP_SGLUhep: 1hibup_S[r] + udpglcur[r] --> 1hibupglu_S[r] + udp[r]	Drug metabolism	UGT2B7
