,pathway,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h_rawk,LJP005_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h_rawk,LJP005_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h_rawk,LJP005_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h_rawk,LJP005_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h_rawk,LJP005_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h_rawk
0,Alanine and aspartate metabolism,0.19447178099241524,0.1428879983414187,0.03418298151896988,-0.011567171240407386,0.0,0.017187466139380648
1,Aminoacyl-tRNA biosynthesis,0.18551146375974895,0.1629138103311526,0.018658809371832393,0.03303092086437116,0.035074208491699795,0.13038631343257295
2,Aminosugar metabolism,-0.05228320940709475,-0.02542120162296103,0.04133649244330258,0.001098283856532628,0.0021959920619319135,-0.014330427420634858
3,Androgen and estrogen synthesis and metabolism,-0.0038608698761833076,-0.03884598883716016,0.023822639782804605,-0.0030882801015534155,0.003084963028364517,-0.011598255805815172
4,Arachidonic acid metabolism,-0.0037180670906582333,-0.03480151426956353,-0.029193171528608806,0.0012387975599944651,0.004334575755136088,-0.014887467509189515
5,Arginine and proline metabolism,-0.07898033753340707,-0.044037468766374786,-0.1222663983143015,-0.014570922419847086,-0.06642935549166155,0.032401071291645586
6,Beta-Alanine metabolism,-0.0030574657757590487,0.003052362916980712,0.08798014562082836,0.007621382230804272,-0.024604274477905756,-0.0030574657757590487
7,Bile acid synthesis,-0.0955785551076438,-0.043631835015721473,-0.0139493012134601,-0.03314911954443816,-0.0139493012134601,-0.027328517629117113
8,Biotin metabolism,0.21512427726082964,-0.01244174092464677,0.10529234705766839,0.023473720587917288,0.0026146181697361422,0.07454415796209685
9,Butanoate metabolism,0.017520630460751162,-0.02218348232390334,0.00878509868560124,-0.02665862374181205,0.0,-0.03114676004965161
10,C5-branched dibasic acid metabolism,-0.07548107070215183,-0.05305011332134297,-0.0901361309757188,0.055370247864740985,0.010184479072756106,-0.023111731044474396
11,Cholesterol metabolism,0.05845262784357229,-0.032938080536836334,-0.07566341307026679,-0.044488878021956633,-0.007514863695204375,-0.037558751632021485
12,Chondroitin sulfate degradation,-0.3831613224156818,-0.11645763319399999,-0.18082700483741274,-0.1051379266450559,-0.013878787558400166,-0.08024136336168831
13,Chondroitin synthesis,0.48402137133559553,0.2291989339869633,0.058368107079962366,0.20552818813875365,-0.09156412501515865,-0.012149197863899107
14,Citric acid cycle,-0.10517882166628295,-0.06936617188976692,-0.10517882166628295,0.019294823338959117,-0.036796812059774885,0.004844851287861419
15,CoA catabolism,0.32895415123737404,0.20084697022055711,0.023432559748376505,0.006278303689149101,0.0015716142169594988,0.023432559748376505
16,CoA synthesis,-0.21480000112715994,-0.15374226846613617,-0.0064984545157509505,-0.014184266358306661,0.01652165104482678,0.007084162302455643
17,Cytochrome metabolism,0.1227623476963612,0.11383521280464642,0.020520206416171312,0.017378338640828103,0.0015867616242166418,0.02522283005213517
18,D-alanine metabolism,0.1169547375277637,0.006728309365893435,0.023425230518462747,-0.0033748972678398054,0.03335969981537741,0.10121566778229693
19,Drug metabolism,0.3327641457788448,0.1947902488285749,0.206329572513111,0.061967132357417264,-0.004640014115539746,-0.015084077237572048
20,Eicosanoid metabolism,-0.0011539541003595226,-0.020195164976254117,-0.010385790667219653,0.012693283967454064,0.0,-0.017887014510531145
21,Exchange/demand reaction,0.235974216720684,0.20751445989436515,0.07072451394651769,0.05974698056806095,-0.015264382624284369,-0.01334893970417584
22,Fatty acid oxidation,-0.029980868146735666,-0.029344968304849218,-0.019796181960755433,-0.019796181960755433,-0.0025591042756291753,-0.02298126149391833
23,Fatty acid synthesis,-0.11999871655418555,-0.035470052018059944,-0.07346040710102085,-0.0070832906173356695,-0.0023605171566610976,0.051791768439442956
24,Folate metabolism,-0.1735847293940351,-0.08753029732568132,-0.11713632981484505,-0.041494488382935596,-0.016510325481620975,-0.06957113893165398
25,Fructose and mannose metabolism,0.0905039146294278,0.008041215719999974,0.025348839346552784,0.010714125529797199,0.01738012149646072,-0.013477736000603117
26,Galactose metabolism,-0.05600065864799412,-0.03857066949581133,0.004231764805508698,0.012663680594619996,0.01476511509827155,-0.02346602714156349
27,Glutamate metabolism,-0.08650541871238608,-0.05047453321966244,-0.030542650332359693,0.012922001461585035,-0.0683929694293738,-0.043804223269485854
28,Glutathione metabolism,-0.0717761303292156,-0.09231497602346357,0.019365948630399404,0.02704569646475057,-0.003902142143892927,0.003892424567550067
29,Glycerophospholipid metabolism,0.07347001206444857,0.016794225537121024,0.053818885127120054,0.029527053641425334,0.035312682875372016,0.031262870859426015
30,"Glycine, serine, alanine, and threonine metabolism",0.12886764298240685,0.03616788735087246,0.0465488923939512,0.04309442076908537,-0.011806268345545353,0.023407750192602005
31,Glycolysis/gluconeogenesis,0.03814186279949265,0.021879956364681246,0.04137926862277236,0.0021982977536814446,-0.004403537363356982,0.0
32,Glycosphingolipid metabolism,0.319994675392816,0.20386620851479767,0.009703170293853659,-0.045407883318386244,-0.02507523437535022,0.04825360321050311
33,Glyoxylate and dicarboxylate metabolism,-0.03502556524360108,-0.028614358267979575,0.016778154660786207,-0.012670230916093053,0.013642197701907218,-0.0010529964173320013
34,Heme degradation,-0.12640399986020898,0.24017863511151882,0.3277734474720692,0.16161298139128458,0.10075697840360713,-0.022968092606506566
35,Heme synthesis,-0.03603610176570583,0.020378786020907647,0.0011637714866821398,-0.038358440307035814,0.01164165599603319,-0.03603610176570583
36,Heparan sulfate degradation,-0.13613529363990381,-0.2366268480273399,-0.048884873570177435,0.006301573893905071,0.0031497873097068273,-0.013835550392666957
37,Histidine metabolism,-0.04440313623063681,-0.023024027098905595,-0.03270888491882856,-0.0038160698504928828,0.00570834856354492,-0.03659813904403212
38,Hyaluronan metabolism,0.03137021235273623,-0.051585917416736536,0.09818061948251566,0.10411090286782183,0.03137021235273623,0.0
39,Inositol phosphate metabolism,0.016604729682858654,0.05163590726384201,0.005543573628614165,-0.019471786462348515,-0.0125051109785942,-0.03274716124116276
40,Keratan sulfate degradation,-0.054569681019874874,-0.035897055126689156,-0.03308321460138741,-0.009500804215830144,-0.0009518475334309561,-0.01896262225081378
41,Keratan sulfate synthesis,-0.03975872637667324,-0.05079820975504849,-0.09913508113221506,-0.019979598434799076,-0.01126348257837468,-0.002508582504670899
