,pathway,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h_rawk,LJP005_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h_rawk,LJP005_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h_rawk,LJP005_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h_rawk,LJP005_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h_rawk,LJP005_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h_rawk
0,Alanine and aspartate metabolism,0.28039435018988496,0.7638991783454299,0.9624915588400453,1.0,1.0,1.0
1,Aminoacyl-tRNA biosynthesis,0.051339805532706305,0.19563081418298797,0.9624915588400453,1.0,1.0,1.0
2,Aminosugar metabolism,0.5581061003139017,0.8733768485457288,0.9394004832674477,1.0,1.0,1.0
3,Androgen and estrogen synthesis and metabolism,0.9737732418581838,0.8211425052088815,0.9624915588400453,1.0,1.0,1.0
4,Arachidonic acid metabolism,0.9737732418581838,0.8211425052088815,0.9514186399526713,1.0,1.0,1.0
5,Arginine and proline metabolism,0.346754118582576,0.8306569499789672,0.28854853858878954,1.0,1.0,1.0
6,Beta-Alanine metabolism,0.9887176185861747,1.0,0.6151213115439179,1.0,1.0,1.0
7,Bile acid synthesis,0.06775310371079173,0.7646178920338703,0.9624915588400453,1.0,1.0,1.0
8,Biotin metabolism,6.409120381503263e-06,0.8845485828085253,0.13822774561760176,1.0,1.0,1.0
9,Butanoate metabolism,0.9552036634734102,0.9647323514809564,1.0,1.0,1.0,1.0
10,C5-branched dibasic acid metabolism,0.3945561621973338,0.8211425052088815,0.5425358969077279,1.0,1.0,1.0
11,Cholesterol metabolism,0.30419891968330887,0.8211425052088815,0.3612887318605704,1.0,1.0,1.0
12,Chondroitin sulfate degradation,5.739074610672125e-16,0.07293164099044892,0.0017528859420020248,1.0,1.0,1.0
13,Chondroitin synthesis,3.008637810101512e-30,1.0849819837796997e-06,0.5491584287395586,5.089352637850474e-05,0.8607907992665298,1.0
14,Citric acid cycle,0.3945561621973338,0.8211425052088815,0.7028031639140008,1.0,1.0,1.0
15,CoA catabolism,4.592239299561641e-06,0.029103214869163514,0.9624915588400453,1.0,1.0,1.0
