,pathway,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h_rawk
0,Alanine and aspartate metabolism,0.19447178099241524
2,Aminoacyl-tRNA biosynthesis,0.18551146375974895
3,Aminosugar metabolism,-0.05228320940709475
4,Androgen and estrogen synthesis and metabolism,-0.0038608698761833076
5,Arachidonic acid metabolism,-0.0037180670906582333
6,Arginine and proline metabolism,-0.07898033753340707
7,Beta-Alanine metabolism,-0.0030574657757590487
8,Bile acid synthesis,-0.0955785551076438
9,Biotin metabolism,0.21512427726082964
11,Butanoate metabolism,0.017520630460751162
12,C5-branched dibasic acid metabolism,-0.07548107070215183
13,Cholesterol metabolism,0.05845262784357229
14,Chondroitin sulfate degradation,-0.3831613224156818
15,Chondroitin synthesis,0.48402137133559553
16,Citric acid cycle,-0.10517882166628295
17,CoA catabolism,0.32895415123737404
18,CoA synthesis,-0.21480000112715994
19,Cytochrome metabolism,0.1227623476963612
20,D-alanine metabolism,0.1169547375277637
21,Drug metabolism,0.3327641457788448
22,Eicosanoid metabolism,-0.0011539541003595226
23,Exchange/demand reaction,0.235974216720684
24,Fatty acid oxidation,-0.029980868146735666
25,Fatty acid synthesis,-0.11999871655418555
26,Folate metabolism,-0.1735847293940351
27,Fructose and mannose metabolism,0.0905039146294278
28,Galactose metabolism,-0.05600065864799412
29,Glutamate metabolism,-0.08650541871238608
30,Glutathione metabolism,-0.0717761303292156
31,Glycerophospholipid metabolism,0.07347001206444857
32,"Glycine, serine, alanine, and threonine metabolism",0.12886764298240685
33,Glycolysis/gluconeogenesis,0.03814186279949265
34,Glycosphingolipid metabolism,0.319994675392816
35,Glyoxylate and dicarboxylate metabolism,-0.03502556524360108
36,Heme degradation,-0.12640399986020898
37,Heme synthesis,-0.03603610176570583
38,Heparan sulfate degradation,-0.13613529363990381
39,Histidine metabolism,-0.04440313623063681
40,Hyaluronan metabolism,0.03137021235273623
41,Inositol phosphate metabolism,0.016604729682858654
42,Keratan sulfate degradation,-0.054569681019874874
43,Keratan sulfate synthesis,-0.03975872637667324
44,Leukotriene metabolism,0.06616289361141237
46,Linoleate metabolism,0.15411805712340046
47,Lipoate metabolism,-0.3068368240623286
48,Lysine metabolism,-0.05690321767135697
49,Methionine and cysteine metabolism,0.02606872100191974
50,Miscellaneous,0.013892456273187281
51,N-glycan degradation,-0.027043856665813507
52,N-glycan metabolism,-0.07661489812938058
53,N-glycan synthesis,-0.13475488616940023
54,NAD metabolism,0.16166264367955235
55,Nucleotide interconversion,-0.12093163478710982
56,Nucleotide metabolism,0.060677761439424174
57,Nucleotide salvage pathway,-0.06488956869370285
58,Nucleotide sugar metabolism,0.2945066459257891
59,O-glycan metabolism,0.06738670804576564
60,Oxidative phosphorylation,-0.0230267255069065
61,Pentose phosphate pathway,-0.09932353441518268
62,Phenylalanine metabolism,-0.0815738362930146
63,Phosphatidylinositol phosphate metabolism,0.019634705591324228
64,Propanoate metabolism,0.05436647284198641
65,Protein assembly,-0.0766974566574626
66,Protein degradation,0.08169517706509145
67,Protein modification,0.1785126680301971
68,Purine catabolism,-0.004248569343018946
69,Purine synthesis,0.02010301726154092
70,Pyrimidine catabolism,0.08047232423069164
71,Pyrimidine synthesis,-0.14729039917661915
72,Pyruvate metabolism,-0.09186556252365978
73,ROS detoxification,-0.1332053376366615
74,Selenoamino acid metabolism,-0.15137940339857242
75,Sphingolipid metabolism,0.03199289209391113
76,Squalene and cholesterol synthesis,0.14083043483601515
77,Starch and sucrose metabolism,-0.042331715045145574
78,Steroid metabolism,0.07695966054856099
79,"Stilbene, coumarine and lignin synthesis",-0.4570905369097996
80,Taurine and hypotaurine metabolism,-0.32039812934332396
81,Tetrahydrobiopterin metabolism,-0.12270779963364738
82,Thiamine metabolism,0.17017507629788386
83,"Transport, endoplasmic reticular",-0.1997403385662887
84,"Transport, extracellular",-0.036012748154095275
85,"Transport, golgi apparatus",-0.11353040549099258
86,"Transport, lysosomal",0.10798352637658006
87,"Transport, mitochondrial",0.13260868635174058
88,"Transport, nuclear",0.02603788164824801
89,"Transport, peroxisomal",0.11873318474277432
90,Triacylglycerol synthesis,0.056697353029151215
91,Tryptophan metabolism,0.05122023158830741
92,Tyrosine metabolism,-0.0399788348164778
93,Ubiquinone synthesis,0.07414984630885306
94,Urea cycle,0.11141419250473028
95,"Valine, leucine, and isoleucine metabolism",-0.09031360066462361
96,Vitamin A metabolism,0.08129785169391604
97,Vitamin B2 metabolism,-0.06350579993500498
98,Vitamin B6 metabolism,-0.3414470189830154
99,Vitamin C metabolism,-0.18853427377881604
100,Vitamin D metabolism,0.051966250124267796
102,Xenobiotics metabolism,-0.06186787859442945
