rxn,rxn_name,equation,pathway,gene,LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP005_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP005_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP005_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP005_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP005_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h,LJP006_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h,LJP006_HA1E_24H_G14___HA1E___withaferin-a___3_33_um___24_h,LJP006_HA1E_24H_G15___HA1E___withaferin-a___1_11_um___24_h,LJP006_HA1E_24H_G16___HA1E___withaferin-a___0_37_um___24_h,LJP006_HA1E_24H_G17___HA1E___withaferin-a___0_12_um___24_h,LJP006_HA1E_24H_G18___HA1E___withaferin-a___0_04_um___24_h
11DOCRTSLte,"Transport of 11-Deoxycortisol, Extracellular",11DOCRTSLte: 11docrtsl[c] + atp[c] + h2o[c] --> 11docrtsl[e] + adp[c] + h[c] + pi[c],"Transport, extracellular",ABCB1,11.352665901184082,11.399948954582214,11.29519808292389,10.975365161895752,10.008412264287472,10.201553970575333,12.73707628250122,11.816489100456238,11.06410002708435,10.080229133367538,10.668761610984802,9.19972848892212
11DOCRTSTRNte,"Transport of 11-Deoxycorticosterone, Extracellular",11DOCRTSTRNte: 11docrtstrn[c] + atp[c] + h2o[c] --> 11docrtstrn[e] + adp[c] + h[c] + pi[c],"Transport, extracellular",ABCB1,11.352665901184082,11.399948954582214,11.29519808292389,10.975365161895752,10.008412264287472,10.201553970575333,12.73707628250122,11.816489100456238,11.06410002708435,10.080229133367538,10.668761610984802,9.19972848892212
12DHCHOLabc,12-Dehydrocholic acid ABC bile acid transporter,12DHCHOLabc: 12dhchol[c] + atp[c] + h2o[c] --> 12dhchol[e] + adp[c] + h[c] + pi[c],"Transport, extracellular",ABCB11;;;ABCC2;;;ABCC3;;;ABCC4,11.377752434462309,10.683197438716888,10.942105516791344,10.518408678472042,10.158253360539675,10.381598006933928,12.465483099222183,10.626139715313911,10.305300008505583,10.143973004072905,9.853403225541115,9.692266553640366
12DHCHOLt,12-Dehydrocholic acid transport via bicarbonate countertransport,12DHCHOLt: 12dhchol[e] + hco3[c] <=> 12dhchol[c] + hco3[e],"Transport, extracellular",SLCO1B1;;;SLCO1B3,11.42223834991455,12.033594697713852,11.256786167621613,10.18561202287674,9.388200670480728,11.075181305408478,12.589385449886322,11.622741460800171,9.687999993562698,10.010240636765957,10.613315165042877,9.704685032367706
12DHCHOLt2,12-Dehydrocholic acid transport via sodium cotransport,12DHCHOLt2: 12dhchol[e] + 2.0 na1[e] --> 12dhchol[c] + 2.0 na1[c],"Transport, extracellular",SLC10A1;;;SLC10A2,14.258576393127441,11.4300377368927,10.552938729524612,10.475657910108566,9.873754650354385,10.050358552485704,16.45522689819336,11.415878236293793,9.505124978721142,9.739515587687492,9.768711403012276,9.419735208153725
13DAMPPOX,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",13DAMPPOX: 13dampp[c] + h2o[c] + o2[c] --> bamppald[c] + h2o2[c] + nh4[c],Beta-Alanine metabolism,AOC1;;;AOC2;;;AOC3,12.014581004778544,11.216912022481361,10.821220517158508,9.605966066320738,9.996638163924217,9.875539064407349,12.96878186861674,11.443487564722696,9.591250012318293,9.497957626978556,9.887452838321527,10.106781939665476
13DAMPPte,Facilitated Diffusion Through Uniport Octs Transporters into Extracellular Space,13DAMPPte: 13dampp[c] <=> 13dampp[e],"Transport, extracellular",SLC22A1;;;SLC22A2;;;SLC22A3,11.25306753317515,10.958078970511755,10.766096780697504,10.523157001783451,9.937134638428688,10.269797494014105,12.637084305286407,10.707425812880198,9.877600014209747,9.928968240817388,10.0258080214262,10.059950341780981
14HMDZALThr,"oxidation of 4-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes",14HMDZALThr: 4ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r],Drug metabolism,CYP3A4;;;CYP3A5,13.010057210922241,11.348075330257416,11.20505079627037,10.382983177900314,10.330684870481491,10.338337540626526,14.305137157440186,11.09154486656189,10.119499996304512,10.026756152510643,9.89452908653766,9.59042802453041
14HMDZhr,"oxidation of 1-OH-midazolam to 1,4-Dihydroxy-midazolam in hepatocytes",14HMDZhr: 1ohmdz[r] + h[r] + nadph[r] + o2[r] --> 14hmdz[r] + h2o[r] + nadp[r],Drug metabolism,CYP3A4;;;CYP3A5,13.010057210922241,11.348075330257416,11.20505079627037,10.382983177900314,10.330684870481491,10.338337540626526,14.305137157440186,11.09154486656189,10.119499996304512,10.026756152510643,9.89452908653766,9.59042802453041
15KPROSTGF2c,Formation of 15-Keto-Prostaglandin F2A,15KPROSTGF2c: nad[c] + prostgf2[c] <=> 15kprostgf2[c] + h[c] + nadh[c],Eicosanoid metabolism,HPGD,10.58787190914154,10.13639572262764,9.881006687879562,9.560070782899857,9.800506800413132,9.490145683288574,10.670441567897797,10.004696294665337,9.731949985027313,9.26230537891388,9.506698369979858,9.369187116622925
17AHPRGNLONEte,"Transport of 17Alpha-Hydroxypregnenolone, Extracellular",17AHPRGNLONEte: 17ahprgnlone[c] + atp[c] + h2o[c] --> 17ahprgnlone[e] + adp[c] + h[c] + pi[c],"Transport, extracellular",ABCB1,11.352665901184082,11.399948954582214,11.29519808292389,10.975365161895752,10.008412264287472,10.201553970575333,12.73707628250122,11.816489100456238,11.06410002708435,10.080229133367538,10.668761610984802,9.19972848892212
17AHPRGSTRNte,"Transport of 17Alpha-Hydroxyprogesterone, Extracellular",17AHPRGSTRNte: 17ahprgstrn[c] + atp[c] + h2o[c] --> 17ahprgstrn[e] + adp[c] + h[c] + pi[c],"Transport, extracellular",ABCB1,11.352665901184082,11.399948954582214,11.29519808292389,10.975365161895752,10.008412264287472,10.201553970575333,12.73707628250122,11.816489100456238,11.06410002708435,10.080229133367538,10.668761610984802,9.19972848892212
1A25DHVITD3te,Transport As Vitamin D,1A25DHVITD3te: 1a25dhvitd3[e] --> 1a25dhvitd3[c],"Transport, extracellular",CD36;;;NPC1L1;;;SCARB1,10.71212617556254,10.497730493545532,10.127995928128561,10.76164847612381,10.184253424406052,10.35192951063315,10.661870370308558,10.2305728495121,9.77239998181661,10.249599459270636,9.991423472762108,10.040101394057274
1HMDGLUChr,glucuronidation of 1-OH-midazolam in enterocytes,1HMDGLUChr: 1ohmdz[r] + udpglcur[r] --> 1hmdgluc[r] + h[r] + udp[r],Drug metabolism,UGT2B4,12.019515991210938,12.216597080230713,11.625850915908813,9.890567019581795,10.085221640765667,9.700505286455154,14.147758483886719,11.519084453582764,9.01960003376007,10.23386088013649,10.316343128681183,9.725993007421494
1OHMDZhr,oxidation of midazolam to 1-OH-midazolam in hepatocytes,1OHMDZhr: h[r] + mdz[r] + nadph[r] + o2[r] --> 1ohmdz[r] + h2o[r] + nadp[r],Drug metabolism,CYP3A4;;;CYP3A5,13.010057210922241,11.348075330257416,11.20505079627037,10.382983177900314,10.330684870481491,10.338337540626526,14.305137157440186,11.09154486656189,10.119499996304512,10.026756152510643,9.89452908653766,9.59042802453041
21HPRGNLONE,Formation of 21-Hydroxypregnenolone,21HPRGNLONE: h[c] + nadph[c] + o2[c] + prgnlone[c] --> 21hprgnlone[c] + h2o[c] + nadp[c],Steroid metabolism,CYP21A2,13.441336154937744,11.606745958328247,11.140705227851868,10.471769779920578,9.569572150707245,10.498843967914581,15.280791759490967,11.705068588256836,10.022349998354912,10.496306866407394,9.919090688228607,9.706370651721954
