pathway	LJP005_HA1E_24H_G13___HA1E___withaferin-a___10_0_um___24_h_rawk
Alanine and aspartate metabolism	0.21160805735081523
Aminoacyl-tRNA biosynthesis	0.2689764161913439
Aminosugar metabolism	-0.07382467082139102
Androgen and estrogen synthesis and metabolism	-0.008595014232077347
Arachidonic acid metabolism	-0.015517988120684943
Arginine and proline metabolism	-0.06695048243981797
Beta-Alanine metabolism	-0.019415700587373942
Bile acid synthesis	-0.12489695002168794
Butanoate metabolism	0.018913412211304947
Cholesterol metabolism	0.05236018325785563
Chondroitin sulfate degradation	-0.4718671344943467
Chondroitin synthesis	0.45321872171071587
Citric acid cycle	-0.11519762438648473
CoA catabolism	0.2623959363569209
CoA synthesis	-0.1469100937510997
Cytochrome metabolism	0.1530069810309965
Drug metabolism	0.3399773876817049
Eicosanoid metabolism	-0.007998922709983635
Exchange/demand reaction	0.21846678830052954
Fatty acid oxidation	-0.039075004345959355
Fatty acid synthesis	-0.11825203935912104
Folate metabolism	-0.16487464726979867
Fructose and mannose metabolism	0.13398341310815312
Galactose metabolism	-0.09955930509603372
Glutamate metabolism	-0.09538044483655124
Glutathione metabolism	-0.07129088835367846
Glycerophospholipid metabolism	0.0777660390412214
Glycine, serine, alanine, and threonine metabolism	0.17338898595745061
Glycolysis/gluconeogenesis	0.04982012321177988
Glycosphingolipid metabolism	0.35775874390793116
Glyoxylate and dicarboxylate metabolism	-0.03566107458549225
Heme degradation	-0.17648715149357558
Heme synthesis	-0.04426360463711519
Heparan sulfate degradation	-0.10244068594638214
Histidine metabolism	-0.0436323347463809
Hyaluronan metabolism	-0.027642169339677065
Inositol phosphate metabolism	0.003851621440785217
Keratan sulfate degradation	-0.06391358108760108
Keratan sulfate synthesis	-0.05122653075483927
Leukotriene metabolism	0.09036286670111124
Linoleate metabolism	0.14490329506540292
Lysine metabolism	-0.040258221140264006
Methionine and cysteine metabolism	0.003720819635647749
N-glycan degradation	-0.018765244132536076
N-glycan metabolism	-0.10155808334781274
N-glycan synthesis	-0.1459759318136432
NAD metabolism	0.19253681134261832
Nucleotide interconversion	-0.11226931894020886
Nucleotide metabolism	0.08633718799949025
O-glycan metabolism	0.1560470065973768
Oxidative phosphorylation	-0.024997787228381314
Pentose phosphate pathway	-0.12262473163872335
Phenylalanine metabolism	-0.08725387568397386
Phosphatidylinositol phosphate metabolism	0.02081680765580468
Propanoate metabolism	0.07527560520873358
Protein degradation	0.09194670433480448
Protein modification	0.2105393176969064
Purine catabolism	0.001480558397349337
Purine synthesis	0.0
Pyrimidine catabolism	0.08003552266346171
Pyrimidine synthesis	-0.1397794591869131
Pyruvate metabolism	-0.04895180923638959
Selenoamino acid metabolism	-0.20117508488040875
Sphingolipid metabolism	0.053978785237455286
Squalene and cholesterol synthesis	0.14542003099686385
Starch and sucrose metabolism	-0.002658398903102592
Steroid metabolism	0.09465155112894366
Taurine and hypotaurine metabolism	-0.2811249121183638
Tetrahydrobiopterin metabolism	-0.11717643173675142
Thiamine metabolism	0.08217353785008749
Transport, endoplasmic reticular	-0.21862276389686372
Transport, extracellular	-0.02286445635189953
Transport, golgi apparatus	-0.17865651868934349
Transport, lysosomal	0.09762416325365261
Transport, mitochondrial	0.12904337580340838
Transport, nuclear	0.029722048259573898
Transport, peroxisomal	0.1464558776338116
Triacylglycerol synthesis	0.09728652784892265
Tryptophan metabolism	-0.04479535902879542
Tyrosine metabolism	-0.062128190744442695
Ubiquinone synthesis	0.09426610957801503
Urea cycle	0.11445064734707758
Valine, leucine, and isoleucine metabolism	-0.10803401577041188
Vitamin A metabolism	0.10517908574172055
Vitamin B2 metabolism	-0.10572399872307676
Vitamin C metabolism	-0.1914136555532107
Vitamin D metabolism	0.08446890099128376
Xenobiotics metabolism	-0.06242702086615289
