,pathway,ActivatedMyeloidCells___aPD1aCTLA4_rawk,HighlyProliferativeTCells___aPD1aCTLA4_rawk,OtherMyeloidCells___aPD1aCTLA4_rawk
0,Alanine and Aspartate Metabolism,1.0931094043914815,0.0,0.23749931372665614
1,Aminosugar Metabolism,0.3743955147814979,-0.7264349266740368,0.1948161769840231
2,Arginine and Proline Metabolism,0.18676851160572655,0.0,0.35989594508638295
3,Ascorbate and Aldarate Metabolism,5.473931188332412,6.127111917903339,5.331843563752445
4,Bile Acid Biosynthesis,2.1736830005479124,2.566949877155537,2.3590380425598303
5,Biotin Metabolism,-0.3962863249817059,-1.3479233034203069,-0.25481389902882534
6,Blood Group Biosynthesis,-4.643856189774724,-3.6147098441152083,-3.277984747299765
7,Butanoate Metabolism,-1.9560566524124032,-2.2927817492278457,-1.9560566524124032
8,C5-Branched dibasic acid metabolism,1.170618771612397,0.9880273583339241,1.1104239896936505
9,CYP Metabolism,-0.34902895812320767,-0.34902895812320767,-0.34902895812320767
10,Carnitine shuttle,-0.8867893895520089,0.8050883150856591,0.5117599869382659
11,Cholesterol Metabolism,0.5711567011961258,0.4182047783575268,0.5711567011961258
12,Chondroitin / heparan sulfate biosynthesis,0.0,-1.1271119179033393,0.12553088208385882
13,Chondroitin sulfate degradation,1.5011941430285585,0.42667219976224713,1.2064508774674263
14,Citric Acid Cycle,1.4254326706412224,1.5744318332289866,1.4254326706412224
15,CoA Biosynthesis,0.35989594508638295,-0.6730186773863525,-0.18966121950357454
16,CoA Catabolism,-4.435819061415347,-4.435819061415347,-2.3923174227787602
17,Cysteine Metabolism,0.8556100906648252,1.4405725913859815,0.9872069734480382
18,D-alanine metabolism,-1.060120992437571,-1.060120992437571,-1.060120992437571
19,Eicosanoid Metabolism,0.2837929660005913,-0.5291214813989135,1.2205991395133973
20,Fatty Acid Metabolism,-1.0730634621897233,-1.1611547918145804,-1.252642799987198
21,Fatty acid activation,2.2623947715777435,-0.616452786848972,0.0
22,Fatty acid elongation,-3.525912260743351,-1.9000042100232786,-2.2962905350049843
23,Fatty acid oxidation,2.1998405793465996,2.1998405793465996,1.6286838781504742
24,"Fatty acid oxidation, peroxisome",0.2307802068291671,0.05724395183447584,0.2307802068291671
25,Folate Metabolism,0.5454341365345188,-0.37439551478149785,0.5454341365345188
26,Fructose and Mannose Metabolism,0.6164527868489719,0.42968427524324515,0.524964778676354
27,Galactose metabolism,1.8953026213333068,1.7463034587455424,1.8217460143632258
28,Glutamate metabolism,-0.5154840610264216,-0.8522091578418644,-0.8522091578418644
29,Glutathione Metabolism,2.3770696490798233,1.6780719051126378,2.21978120787991
30,Glycerophospholipid Metabolism,0.1948161769840231,-0.2141248053528475,0.09953567355091437
31,"Glycine, Serine, and Threonine Metabolism",0.3743955147814979,0.09953567355091437,0.1948161769840231
32,Glycolysis/Gluconeogenesis,2.064011758120681,1.78021879212009,1.9501437935624024
33,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.1870855526004952,0.3826363617183022,-0.060841960843090265
34,Glyoxylate and Dicarboxylate Metabolism,-0.1292830169449665,0.24792751344358552,-0.2630344058337938
35,Heme Biosynthesis,-1.01435529297707,-1.01435529297707,-1.01435529297707
36,Heme Degradation,2.8707169830550336,2.8707169830550336,2.8707169830550336
37,Heparan sulfate degradation,0.16205675810897305,-0.3598959450863828,0.08227768412997519
38,Histidine Metabolism,2.9095018090650564,1.78021879212009,3.043253197953884
39,Hyaluronan Metabolism,-0.7664093720586881,0.0,-0.336725096815443
40,IMP Biosynthesis,-0.20791183459570634,0.6476982560691189,0.0
41,Inositol Phosphate Metabolism,0.05702210415356899,0.7732291381529777,0.05702210415356899
42,Keratan sulfate biosynthesis,0.2397291144547023,0.5291214813989136,-0.5891839961718408
43,Keratan sulfate degradation,0.9714935723110057,0.7983661388303495,0.9714935723110057
44,Lysine Metabolism,0.3468931257832492,-0.7797786777051792,0.579624122600846
45,Methionine Metabolism,0.0,0.9429690549636212,0.16759994849606863
46,Miscellaneous,-3.456577621582144,-3.456577621582144,-3.456577621582144
47,N-Glycan Biosynthesis,0.40549735365249057,0.4623432140572006,0.632268215499513
48,N-Glycan Degradation,-0.426672199762247,-0.24709286196477234,-0.426672199762247
49,NAD Metabolism,1.5090136474878577,1.1926450779423958,1.3219280948873624
50,Nucleic acid degradation,0.5123101213211892,-0.15327083960825147,0.2730693087360934
51,Nucleotide Sugar Metabolism,1.060120992437571,0.0,0.8522091578418645
52,Nucleotides,1.2054535484443154,1.5690743890123189,1.2054535484443154
53,O-Glycan Biosynthesis,-1.489805267680816,-1.060120992437571,-1.489805267680816
54,Oxidative Phosphorylation,4.5047556091467875,4.561777713300357,4.447909748742077
55,Pentose Phosphate Pathway,0.3519369861846864,-0.23273099681759665,0.28445338946869936
56,Pentose and Glucuronate Interconversions,-2.3802267354520295,-2.3802267354520295,-2.3802267354520295
57,Phenylalanine metabolism,0.6655809609294407,0.6655809609294407,0.6655809609294407
58,Propanoate Metabolism,1.491154285446121,-1.254101281063786,1.491154285446121
59,Purine Catabolism,-2.137503523749935,-2.736965594166206,-2.137503523749935
60,Pyrimidine Biosynthesis,-1.0443941193584534,-1.0443941193584534,-1.0443941193584534
61,Pyrimidine Catabolism,1.4434501490728604,0.9127972365752405,1.71116337540559
62,Pyruvate Metabolism,1.416646752140501,0.8259706002249511,1.244061423481349
63,ROS Detoxification,-1.01435529297707,-1.01435529297707,-1.01435529297707
64,Salvage Pathway,4.113210610447991,3.3677317845004873,3.886789389552009
65,Selenoamino acid metabolism,0.40004478480337113,0.6156890163534192,0.40004478480337113
66,Sphingolipid Metabolism,-1.0988177362179155,0.5382567970225312,-0.6861241774073708
67,Starch and Sucrose Metabolism,1.4703199347800335,1.0931094043914815,1.4094779739369432
68,Steroid Metabolism,-1.3040061868900998,-0.3446481713874459,-1.1328942704973453
69,Taurine and hypotaurine metabolism,1.3391373849195853,0.7753691064675525,1.3391373849195853
70,Tetrahydrobiopterin,0.7250134743319937,1.7860750000682724,0.7952683541508941
71,Thiamine Metabolism,0.23924081258509575,-1.5026910344744597,0.12321701624561246
72,"Transport, Endoplasmic Reticular",-1.6438561897747246,-0.6147098441152083,-1.0443941193584534
73,"Transport, Extracellular",-0.18708555260049525,-0.31636856954546183,-0.061554670516636274
74,"Transport, Golgi Apparatus",0.44541114832236256,1.0931094043914815,1.2247062871746943
75,"Transport, Lysosomal",1.7165194578089538,1.5008752262589058,1.7853286157276052
76,"Transport, Mitochondrial",-2.21501289097085,-1.960198991942025,-1.7343870500644296
77,"Transport, Peroxisomal",3.4854268271702415,3.4854268271702415,3.323370069061269
78,Triacylglycerol Synthesis,-1.232660756790275,-0.3301486016923309,-1.4405725913859815
79,Tryptophan metabolism,1.2752600353860777,0.3950373902396391,1.1619185623101327
80,"Tyr, Phe, Trp Biosynthesis",-2.3802267354520295,-2.3802267354520295,-2.3802267354520295
81,Tyrosine metabolism,0.4268146670551973,0.06319382648719389,0.3677317845004871
82,Ubiquinone Biosynthesis,0.0,-0.46234321405720047,-0.46234321405720047
83,Urea cycle/amino group metabolism,1.9842326841416833,1.268144229441309,0.8259706002249511
84,"Valine, Leucine, and Isoleucine Metabolism",0.582147485114102,0.5253016247093923,0.4110355687213475
85,Vitamin A Metabolism,2.331843563752445,2.4020984435713455,2.473931188332412
86,Vitamin B6 Metabolism,0.2912312976644458,-1.6896598793878495,-0.6307661903342809
87,beta-Alanine metabolism,1.865549800227619,2.662965012722429,0.9900845311349172
