,pathway,ActivatedMyeloidCells___aPD1aCTLA4_rawk,HighlyProliferativeTCells___aPD1aCTLA4_rawk,OtherMyeloidCells___aPD1aCTLA4_rawk
0,Alanine and Aspartate Metabolism,0.40502687323445596,1.0,1.0
1,Aminosugar Metabolism,0.7866111443636641,0.5036154726148209,1.0
2,Arginine and Proline Metabolism,0.9538074262479902,1.0,0.8211044856609883
3,Ascorbate and Aldarate Metabolism,4.578922321427958e-23,1.7531974644346696e-28,7.503334360472174e-22
4,Bile Acid Biosynthesis,0.0008804475365834263,0.0001880999545483642,0.0004909051693927969
5,Biotin Metabolism,0.844311039127739,0.22548680826785145,1.0
6,Blood Group Biosynthesis,1.4610441546186101e-08,5.396174103506457e-07,2.5397948820253967e-06
7,Butanoate Metabolism,0.033921835183044126,0.020397487568147108,0.036344823410404424
8,C5-Branched dibasic acid metabolism,0.03865682972612643,0.12238088063575768,0.058924491121307244
9,CYP Metabolism,0.8539676874094312,0.8288575938173646,0.8787203740010089
10,Carnitine shuttle,0.10584830061543639,0.17367907857969472,0.4611207992151809
11,Cholesterol Metabolism,0.4987458828693969,0.653096047055848,0.46940788975943243
12,Chondroitin / heparan sulfate biosynthesis,1.0,0.07889816979351426,1.0
13,Chondroitin sulfate degradation,0.03865682972612643,0.6846034652966796,0.10954870253980097
14,Citric Acid Cycle,0.04300020026205392,0.027048893565948022,0.04730022028825931
15,CoA Biosynthesis,0.7278005410392632,0.3571015447857797,0.9647045958795241
16,CoA Catabolism,0.00022924864003426122,0.00029177099640724155,0.012032876942811493
17,Cysteine Metabolism,0.5789022435694124,0.13294802762093527,0.42850635021135935
18,D-alanine metabolism,0.6078653605463311,0.5659436115431359,0.6078653605463311
19,Eicosanoid Metabolism,0.7866111443636641,0.43298247753606894,0.019785825586405834
20,Fatty Acid Metabolism,0.07038715538088756,0.06392991964010145,0.036344823410404424
21,Fatty acid activation,4.968975579189231e-06,0.5463849957451389,1.0
22,Fatty acid elongation,1.1429285203321266e-07,0.0010059091130171448,0.00012323274935840958
23,Fatty acid oxidation,3.312981576556097e-06,3.727104273625609e-06,0.0010404150641681043
24,"Fatty acid oxidation, peroxisome",0.844311039127739,1.0,0.8691437167491431
25,Folate Metabolism,0.5728419906210057,0.7507241011757607,0.5404169722839677
26,Fructose and Mannose Metabolism,0.5884146108024573,0.7299954971230964,0.7029346777100643
27,Galactose metabolism,0.006724833925564559,0.019996319049149867,0.012032876942811493
28,Glutamate metabolism,0.9021881076088996,0.7165004179972613,0.7506194855209404
