,pathway,ActivatedMyeloidCells___aPD1aCTLA4_rawk
0,Alanine and Aspartate Metabolism,1.0931094043914815
2,Aminosugar Metabolism,0.3743955147814979
3,Arginine and Proline Metabolism,0.18676851160572655
4,Ascorbate and Aldarate Metabolism,5.473931188332412
5,Bile Acid Biosynthesis,2.1736830005479124
6,Biotin Metabolism,-0.3962863249817059
7,Blood Group Biosynthesis,-4.643856189774724
8,Butanoate Metabolism,-1.9560566524124032
9,C5-Branched dibasic acid metabolism,1.170618771612397
10,CYP Metabolism,-0.34902895812320767
11,Carnitine shuttle,-0.8867893895520089
12,Cholesterol Metabolism,0.5711567011961258
13,Chondroitin / heparan sulfate biosynthesis,0.0
14,Chondroitin sulfate degradation,1.5011941430285585
15,Citric Acid Cycle,1.4254326706412224
16,CoA Biosynthesis,0.35989594508638295
17,CoA Catabolism,-4.435819061415347
18,Cysteine Metabolism,0.8556100906648252
19,D-alanine metabolism,-1.060120992437571
20,Eicosanoid Metabolism,0.2837929660005913
21,Fatty Acid Metabolism,-1.0730634621897233
22,Fatty acid activation,2.2623947715777435
23,Fatty acid elongation,-3.525912260743351
24,Fatty acid oxidation,2.1998405793465996
25,"Fatty acid oxidation, peroxisome",0.2307802068291671
26,Folate Metabolism,0.5454341365345188
27,Fructose and Mannose Metabolism,0.6164527868489719
28,Galactose metabolism,1.8953026213333068
29,Glutamate metabolism,-0.5154840610264216
30,Glutathione Metabolism,2.3770696490798233
31,Glycerophospholipid Metabolism,0.1948161769840231
32,"Glycine, Serine, and Threonine Metabolism",0.3743955147814979
33,Glycolysis/Gluconeogenesis,2.064011758120681
34,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.1870855526004952
35,Glyoxylate and Dicarboxylate Metabolism,-0.1292830169449665
36,Heme Biosynthesis,-1.01435529297707
37,Heme Degradation,2.8707169830550336
38,Heparan sulfate degradation,0.16205675810897305
39,Histidine Metabolism,2.9095018090650564
40,Hyaluronan Metabolism,-0.7664093720586881
41,IMP Biosynthesis,-0.20791183459570634
42,Inositol Phosphate Metabolism,0.05702210415356899
43,Keratan sulfate biosynthesis,0.2397291144547023
44,Keratan sulfate degradation,0.9714935723110057
46,Lysine Metabolism,0.3468931257832492
47,Methionine Metabolism,0.0
48,Miscellaneous,-3.456577621582144
49,N-Glycan Biosynthesis,0.40549735365249057
50,N-Glycan Degradation,-0.426672199762247
51,NAD Metabolism,1.5090136474878577
52,Nucleic acid degradation,0.5123101213211892
53,Nucleotide Sugar Metabolism,1.060120992437571
54,Nucleotides,1.2054535484443154
55,O-Glycan Biosynthesis,-1.489805267680816
56,Oxidative Phosphorylation,4.5047556091467875
57,Pentose Phosphate Pathway,0.3519369861846864
58,Pentose and Glucuronate Interconversions,-2.3802267354520295
59,Phenylalanine metabolism,0.6655809609294407
60,Propanoate Metabolism,1.491154285446121
61,Purine Catabolism,-2.137503523749935
62,Pyrimidine Biosynthesis,-1.0443941193584534
63,Pyrimidine Catabolism,1.4434501490728604
64,Pyruvate Metabolism,1.416646752140501
65,ROS Detoxification,-1.01435529297707
67,Salvage Pathway,4.113210610447991
68,Selenoamino acid metabolism,0.40004478480337113
69,Sphingolipid Metabolism,-1.0988177362179155
70,Starch and Sucrose Metabolism,1.4703199347800335
71,Steroid Metabolism,-1.3040061868900998
72,Taurine and hypotaurine metabolism,1.3391373849195853
73,Tetrahydrobiopterin,0.7250134743319937
74,Thiamine Metabolism,0.23924081258509575
75,"Transport, Endoplasmic Reticular",-1.6438561897747246
76,"Transport, Extracellular",-0.18708555260049525
77,"Transport, Golgi Apparatus",0.44541114832236256
78,"Transport, Lysosomal",1.7165194578089538
79,"Transport, Mitochondrial",-2.21501289097085
80,"Transport, Peroxisomal",3.4854268271702415
81,Triacylglycerol Synthesis,-1.232660756790275
82,Tryptophan metabolism,1.2752600353860777
83,"Tyr, Phe, Trp Biosynthesis",-2.3802267354520295
84,Tyrosine metabolism,0.4268146670551973
85,Ubiquinone Biosynthesis,0.0
86,Urea cycle/amino group metabolism,1.9842326841416833
87,"Valine, Leucine, and Isoleucine Metabolism",0.582147485114102
88,Vitamin A Metabolism,2.331843563752445
89,Vitamin B6 Metabolism,0.2912312976644458
91,beta-Alanine metabolism,1.865549800227619
