,pathway,ActivatedMyeloidCells___aPD1aCTLA4_rawk
0,Alanine and Aspartate Metabolism,0.40502687323445596
2,Aminosugar Metabolism,0.7866111443636641
3,Arginine and Proline Metabolism,0.9538074262479902
4,Ascorbate and Aldarate Metabolism,4.578922321427958e-23
5,Bile Acid Biosynthesis,0.0008804475365834263
6,Biotin Metabolism,0.844311039127739
7,Blood Group Biosynthesis,1.4610441546186101e-08
8,Butanoate Metabolism,0.033921835183044126
9,C5-Branched dibasic acid metabolism,0.03865682972612643
10,CYP Metabolism,0.8539676874094312
11,Carnitine shuttle,0.10584830061543639
12,Cholesterol Metabolism,0.4987458828693969
13,Chondroitin / heparan sulfate biosynthesis,1.0
14,Chondroitin sulfate degradation,0.03865682972612643
15,Citric Acid Cycle,0.04300020026205392
16,CoA Biosynthesis,0.7278005410392632
17,CoA Catabolism,0.00022924864003426122
18,Cysteine Metabolism,0.5789022435694124
19,D-alanine metabolism,0.6078653605463311
20,Eicosanoid Metabolism,0.7866111443636641
21,Fatty Acid Metabolism,0.07038715538088756
22,Fatty acid activation,4.968975579189231e-06
23,Fatty acid elongation,1.1429285203321266e-07
24,Fatty acid oxidation,3.312981576556097e-06
25,"Fatty acid oxidation, peroxisome",0.844311039127739
26,Folate Metabolism,0.5728419906210057
27,Fructose and Mannose Metabolism,0.5884146108024573
28,Galactose metabolism,0.006724833925564559
29,Glutamate metabolism,0.9021881076088996
30,Glutathione Metabolism,0.0015607932966817063
31,Glycerophospholipid Metabolism,0.9538074262479902
32,"Glycine, Serine, and Threonine Metabolism",0.7866111443636641
33,Glycolysis/Gluconeogenesis,2.4590995331321357e-05
34,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.9021881076088996
35,Glyoxylate and Dicarboxylate Metabolism,0.957255672001987
36,Heme Biosynthesis,1.0
37,Heme Degradation,2.4590995331321357e-05
38,Heparan sulfate degradation,0.9538074262479902
39,Histidine Metabolism,7.870104688731874e-10
40,Hyaluronan Metabolism,0.8812856618749035
41,IMP Biosynthesis,1.0
42,Inositol Phosphate Metabolism,1.0
43,Keratan sulfate biosynthesis,0.844311039127739
44,Keratan sulfate degradation,0.12363806314539147
46,Lysine Metabolism,0.7930467583360422
47,Methionine Metabolism,1.0
48,Miscellaneous,0.02942476573414204
49,N-Glycan Biosynthesis,0.6218508572728131
50,N-Glycan Degradation,0.7425342398246975
51,NAD Metabolism,0.009271388564691854
52,Nucleic acid degradation,0.7561654842332283
53,Nucleotide Sugar Metabolism,0.6078653605463311
54,Nucleotides,0.01621721326936825
55,O-Glycan Biosynthesis,0.40502687323445596
56,Oxidative Phosphorylation,7.805382424163789e-14
57,Pentose Phosphate Pathway,0.7561654842332283
58,Pentose and Glucuronate Interconversions,0.40502687323445596
59,Phenylalanine metabolism,0.3185705966720314
60,Propanoate Metabolism,0.0066209861082357074
61,Purine Catabolism,0.07038715538088756
62,Pyrimidine Biosynthesis,0.7425342398246975
63,Pyrimidine Catabolism,0.027869777183497046
64,Pyruvate Metabolism,0.007760926843278188
65,ROS Detoxification,1.0
67,Salvage Pathway,1.9520678221740652e-12
68,Selenoamino acid metabolism,0.7425342398246975
69,Sphingolipid Metabolism,0.06904160484663863
70,Starch and Sucrose Metabolism,0.009865695684115584
71,Steroid Metabolism,0.012485932203217148
72,Taurine and hypotaurine metabolism,0.07852268528027305
73,Tetrahydrobiopterin,0.38367153709893903
74,Thiamine Metabolism,0.9538074262479902
75,"Transport, Endoplasmic Reticular",0.5014980016794935
76,"Transport, Extracellular",0.9021881076088996
77,"Transport, Golgi Apparatus",0.90659300182973
78,"Transport, Lysosomal",0.009271388564691854
79,"Transport, Mitochondrial",0.00012776558504308007
80,"Transport, Peroxisomal",2.493209112628669e-13
81,Triacylglycerol Synthesis,0.18933053530256405
82,Tryptophan metabolism,0.013242651397191782
83,"Tyr, Phe, Trp Biosynthesis",0.40502687323445596
84,Tyrosine metabolism,0.6139041367006381
85,Ubiquinone Biosynthesis,1.0
86,Urea cycle/amino group metabolism,0.0014707248071628067
87,"Valine, Leucine, and Isoleucine Metabolism",0.40502687323445596
88,Vitamin A Metabolism,7.712004215225124e-07
89,Vitamin B6 Metabolism,0.7866111443636641
91,beta-Alanine metabolism,0.0006047840415906875
