rxn,rxn_name,equation,pathway,gene,ActivatedMyeloidCells___aCTLA4,ActivatedMyeloidCells___aPD1,ActivatedMyeloidCells___aPD1aCTLA4,ActivatedMyeloidCells___Control,HighlyProliferativeTCells___aCTLA4,HighlyProliferativeTCells___aPD1,HighlyProliferativeTCells___aPD1aCTLA4,HighlyProliferativeTCells___Control,OtherMyeloidCells___aCTLA4,OtherMyeloidCells___aPD1,OtherMyeloidCells___aPD1aCTLA4,OtherMyeloidCells___Control
13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",13DAMPPOX: 13dampp_c + h2o_c + o2_c --> bamppald_c + h2o2_c + nh4_c,beta-Alanine metabolism,Aoc1;;;Aoc2;;;Aoc3,0.0,0.0,0.0007020092498794532,0.004075997711863901,0.006375298574328248,0.0,0.0,0.0,0.00229687570051927,0.0009203550399329347,0.0,0.0004122240465840738
24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),24_25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 2425dhvitd2_m + h2o_m + nadp_m,Vitamin D,Cyp24a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),24_25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 2425dhvitd3_m + h2o_m + nadp_m,Vitamin D,Cyp24a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),25VITD2Hm: 25hvitd2_m + h_m + nadph_m + o2_m --> 1a25dhvitd2_m + h2o_m + nadp_m,Vitamin D,Cyp27b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),25VITD3Hm: 25hvitd3_m + h_m + nadph_m + o2_m --> 1a25dhvitd3_m + h2o_m + nadp_m,Vitamin D,Cyp27b1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),2AMADPTm: L2aadp_c + akg_m <=> L2aadp_m + akg_c,Lysine Metabolism,Slc25a21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2HBt2,2 hydroxybutyrate cotransport with proton,2HBt2: 2hb_e + h_e <=> 2hb_c + h_c,"Transport, Extracellular",Slc16a1;;;Slc16a3;;;Slc16a7,1.5244371351180062,1.9323800238979687,2.100159704261951,2.135096175903288,0.27711431348019344,0.15486240324555411,0.2620755670248651,0.28077688022882696,0.989957686520923,1.5521005107316588,1.224276356063232,0.843720342210356
2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),2OXOADOXm: 2oxoadp_m + coa_m + nad_m --> co2_m + glutcoa_m + nadh_m,Lysine Metabolism,Dld;;;Dlst;;;Ogdh;;;Pdhx,0.2177569050187727,0.23160108595517842,0.18051978505310745,0.24074145146810325,0.28201494902665913,0.298375960542398,0.33171663603459633,0.307917795301912,0.25212703529574465,0.25118571116764976,0.20456999737087392,0.2616595272224944
2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),2OXOADPTm: 2oxoadp_c + akg_m <=> 2oxoadp_m + akg_c,Tryptophan metabolism,Slc25a21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34DHALDD,Aldehyde dehydrogenase  3 4 dihydroxyphenylacetaldehyde  NAD,34DHALDD: 34dhpac_c + h2o_c + nad_c --> 34dhpha_c + 2.0 h_c + nadh_c,Tyrosine metabolism,Aldh1a3;;;Aldh3a1;;;Aldh3b1;;;Aldh3b2,0.26990248441644155,0.32091144298960056,0.3483674556844228,0.3409172411757849,0.017639573470752637,0.012939785544831073,0.007116649707355682,0.006010082726162908,0.23283760330968128,0.2463776573398441,0.20915972866299434,0.22165740123624697
