pathway	ActivatedMyeloidCells___aPD1aCTLA4_rawk
Alanine and Aspartate Metabolism	1.0
Aminosugar Metabolism	0.00036081400245947977
Arginine and Proline Metabolism	1.3756489071923852e-15
Ascorbate and Aldarate Metabolism	0.0
Bile Acid Biosynthesis	1.827617664482802e-50
Blood Group Biosynthesis	7.230670205071012e-165
Butanoate Metabolism	3.2326707004057656e-19
CYP Metabolism	1.920348092265787e-05
Carnitine shuttle	0.028863389342482518
Cholesterol Metabolism	3.193781520110425e-08
Chondroitin / heparan sulfate biosynthesis	8.22151551971609e-06
Chondroitin sulfate degradation	5.406639677574979e-07
Citric Acid Cycle	1.4323301880631553e-08
CoA Biosynthesis	0.23013899098987914
Cysteine Metabolism	0.0019911147590425332
Eicosanoid Metabolism	0.354874193151391
Fatty Acid Metabolism	1.5465169986693076e-14
Fatty acid activation	6.975231220925417e-33
Fatty acid elongation	6.301301502742227e-59
Fatty acid oxidation	7.969432029473072e-21
Fatty acid oxidation, peroxisome	0.12696086080403443
Folate Metabolism	1.7345373321767038e-06
Fructose and Mannose Metabolism	0.3853848798617374
Galactose metabolism	1.651515333837143e-09
Glutamate metabolism	0.1874737088117534
Glutathione Metabolism	5.470005728877955e-05
Glycerophospholipid Metabolism	0.32617454029144693
Glycine, Serine, and Threonine Metabolism	0.3988085891479501
Glycolysis/Gluconeogenesis	1.0693813031572018e-07
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.4269577782870908
Glyoxylate and Dicarboxylate Metabolism	0.017187302677604325
Heme Biosynthesis	1.8125781692598987e-54
Heparan sulfate degradation	0.04044707560268834
Histidine Metabolism	9.28851865426302e-05
Hyaluronan Metabolism	0.8276866010594536
IMP Biosynthesis	0.07042903017628492
Inositol Phosphate Metabolism	0.9330672787698941
Keratan sulfate biosynthesis	0.8034978805518573
Keratan sulfate degradation	0.24023457360910036
Lysine Metabolism	0.14168901770206757
Methionine Metabolism	0.19439189865062945
N-Glycan Biosynthesis	2.2190006683929072e-07
N-Glycan Degradation	0.185300513922542
NAD Metabolism	4.743682579291614e-13
Nucleotides	1.2650114817306198e-09
O-Glycan Biosynthesis	7.94362991053838e-08
Oxidative Phosphorylation	6.513224288605068e-32
Pentose Phosphate Pathway	9.942371230564104e-12
Pentose and Glucuronate Interconversions	0.001177314456888345
Phenylalanine metabolism	1.424290306371191e-16
Propanoate Metabolism	3.193781520110425e-08
Pyrimidine Biosynthesis	0.7121594188376871
Pyrimidine Catabolism	0.11292219540668344
Pyruvate Metabolism	0.006252763029860888
Selenoamino acid metabolism	5.529682667104697e-09
Sphingolipid Metabolism	0.0066564508145354724
Starch and Sucrose Metabolism	0.0003354767578764876
Steroid Metabolism	3.1191085659771484e-63
Taurine and hypotaurine metabolism	3.7509711561892414e-21
Tetrahydrobiopterin	1.0871772703022477e-156
Transport, Extracellular	6.42791574106168e-05
Transport, Golgi Apparatus	0.054853263739048946
Transport, Lysosomal	0.0005180399191288357
Transport, Mitochondrial	1.0947984179458487e-05
Triacylglycerol Synthesis	5.889140440376377e-22
Tryptophan metabolism	1.2604885017756902e-08
Tyrosine metabolism	5.610612998891888e-05
Urea cycle/amino group metabolism	2.7662367646406676e-05
Valine, Leucine, and Isoleucine Metabolism	6.42791574106168e-05
Vitamin A Metabolism	3.5125742324114236e-25
beta-Alanine metabolism	3.2807075461323067e-13
